Open,Close Price
12202.15,1509.6
12198.55,1535.3
12261.1,1537.15
12170.6,1501.5
12079.1,1524.6
11939.1,1513.15
12153.15,1548
12271,1547.65
12296.7,1543.7
12333.1,1529.4
12349.4,1523.85
12347.1,1537.9
12328.4,1581
12430.5,1532.35
12195.3,1533.9
12218.35,1533.35
12123.75,1526.85
12174.55,1521.55
12197.1,1506.55
12148.1,1471.75
12114.9,1479.85
12147.75,1443.75
12100.4,1411.65
11939,1383.35
11627.45,1385.5
11786.25,1426.4
12005.85,1448.5
12120,1457.8
12151.15,1433.65
12102.35,1435.6
12108.4,1452.75
12151,1470.3
12219.55,1474.15
12190.15,1487.6
12131.8,1478.25
12028.25,1467.4
12090.6,1503.8
12119,1485.95
12012.55,1444.95
11877.5,1416.4
11738.55,1392
11661.25,1386.25
11382,1328.65
11387.35,1316.15
11217.55,1342.85
11351.35,1339.7
11306.05,1311.15
10942.65,1271
10742.05,1114.15
10334.3,1153.55
10039.95,1063
9107.6,1105.3
9587.8,1015.7
9285.4,1008
9088.45,968.5
8063.3,917.7
8284.45,1017.95
7945.7,884.05
7848.3,943.4
7735.15,1082.25
8451,1066.2
8949.1,1065.6
8385.95,1030.45
8529.35,1113.75
8584.1,1080.45
8356.55,1077.45
8446.3,1206.1
8688.9,1192.15
8973.05,1219.95
9103.95,1189.15
9196.4,1149.85
8851.25,1168.05
9323.45,1224
9390.2,1243.8
9016.95,1237.35
9026.75,1363.6
9232.35,1370.9
9163.9,1417
9259.7,1429.75
9389.8,1428.15
9408.6,1426.95
9753.5,1466
9533.5,1435.2
9429.4,1460.65
9226.8,1460.75
9234.05,1506.95
9376.95,1561.8
9348.15,1576.8
9168.85,1479.25
9584.2,1496.45
9213.95,1435.95
9182.4,1459.4
9158.3,1440.75
8961.7,1408.9
8889.15,1433.7
9079.45,1441.25
9067.9,1431.55
9099.75,1424.05
9082.2,1445.55
9364.95,1472.25
9422.2,1464.4
9726.85,1520.35
9880.85,1535.7
10108.3,1541.65
10054.25,1579.8
10093.8,1581.7
10326.75,1569.5
10181.15,1537.15
10072.6,1572.15
10094.1,1537.7
9544.95,1588.8
9919.35,1614.55
10014.8,1617.7
9876.7,1615.35
9863.25,1655.9
10119,1759.4
10318.75,1746.15
10347.95,1720.9
10529.25,1727.85
10235.55,1717.9
10378.9,1741.65
10311.95,1723.15
10382.6,1704.1
10323.8,1737.6
10493.05,1760.35
10614.95,1787.9
10723.85,1851.8
10802.85,1823.45
10818.65,1798
10755.55,1824.25
10764.1,1878.05
10851.85,1935
10750.85,1917
10701,1844
10706.2,1843.4
10752,1911.7
10999.45,1919.9
11126.1,1971.55
11231.2,2004
11135,2057.8
11149.95,2146.15
11225,2156.2
11154.1,2177.7
11276.9,2096.65
11254.3,2108.85
11139.5,2067.1
11057.55,2009
10946.65,2150.6
11155.75,2126.45
11185.7,2134.1
11186.65,2146.45
11270.25,2119.85
11322.25,2133.8
11289,2127.6
11334.85,2122.05
11353.3,2113.8
11248.9,2091.35
11259.8,2118.55
11452.15,2131.55
11317.45,2097.05
11409.65,2081.85
11412,2095.75
11513.1,2082.1
11512.85,2137.3
11609.3,2110.6
11602.95,2116.15
11777.55,2080.7
11464.3,2087.25
11478.55,2128.2
11566.2,2112.1
11354.4,2077.25
11359.6,2082.65
11378.55,2107.1
11218.6,2161.35
11363.3,2314
11447.8,2319.75
11540.15,2302.55
11487.2,2318.85
11538.45,2324.55
11539.4,2298.55