Close,Close Price
12182.5,1509.6
12282.2,1535.3
12226.65,1537.15
11993.05,1501.5
12052.95,1524.6
12025.35,1513.15
12215.9,1548
12256.8,1547.65
12329.55,1543.7
12362.3,1529.4
12343.3,1523.85
12355.5,1537.9
12352.35,1581
12224.55,1532.35
12169.85,1533.9
12106.9,1533.35
12180.35,1526.85
12248.25,1521.55
12119,1506.55
12055.8,1471.75
12129.5,1479.85
12035.8,1443.75
11962.1,1411.65
11661.85,1383.35
11707.9,1385.5
11979.65,1426.4
12089.15,1448.5
12137.95,1457.8
12098.35,1433.65
12031.5,1435.6
12107.9,1452.75
12201.2,1470.3
12174.65,1474.15
12113.45,1487.6
12045.8,1478.25
11992.5,1467.4
12125.9,1503.8
12080.85,1485.95
11829.4,1444.95
11797.9,1416.4
11678.5,1392
11633.3,1386.25
11201.75,1328.65
11132.75,1316.15
11303.3,1342.85
11251,1339.7
11269,1311.15
10989.45,1271
10451.45,1114.15
10458.4,1153.55
9590.15,1063
9955.2,1105.3
9197.4,1015.7
8967.05,1008
8468.8,968.5
8263.45,917.7
8745.45,1017.95
7610.25,884.05
7801.05,943.4
8317.85,1082.25
8641.45,1066.2
8660.25,1065.6
8281.1,1030.45
8597.75,1113.75
8253.8,1080.45
8083.8,1077.45
8792.2,1206.1
8748.75,1192.15
9111.9,1219.95
8993.85,1189.15
8925.3,1149.85
8992.8,1168.05
9266.75,1224
9261.85,1243.8
8981.45,1237.35
9187.3,1363.6
9313.9,1370.9
9154.4,1417
9282.3,1429.75
9380.9,1428.15
9553.35,1426.95
9859.9,1466
9293.5,1435.2
9205.6,1460.65
9270.9,1460.75
9199.05,1506.95
9251.5,1561.8
9239.2,1576.8
9196.55,1479.25
9383.55,1496.45
9142.75,1435.95
9136.85,1459.4
8823.25,1440.75
8879.1,1408.9
9066.55,1433.7
9106.25,1441.25
9039.25,1431.55
9029.05,1424.05
9314.95,1445.55
9490.1,1472.25
9580.3,1464.4
9826.15,1520.35
9979.1,1535.7
10061.55,1541.65
10029.1,1579.8
10142.15,1581.7
10167.45,1569.5
10046.65,1537.15
10116.15,1572.15
9902,1537.7
9972.9,1588.8
9813.7,1614.55
9914,1617.7
9881.15,1615.35
10091.65,1655.9
10244.4,1759.4
10311.2,1746.15
10471,1720.9
10305.3,1727.85
10288.9,1717.9
10383,1741.65
10312.4,1723.15
10302.1,1704.1
10430.05,1737.6
10551.7,1760.35
10607.35,1787.9
10763.65,1851.8
10799.65,1823.45
10705.75,1798
10813.45,1824.25
10768.05,1878.05
10802.7,1935
10607.35,1917
10618.2,1844
10739.95,1843.4
10901.7,1911.7
11022.2,1919.9
11162.25,1971.55
11132.6,2004
11215.45,2057.8
11194.15,2146.15
11131.8,2156.2
11300.55,2177.7
11202.85,2096.65
11102.15,2108.85
11073.45,2067.1
10891.6,2009
11095.25,2150.6
11101.65,2126.45
11200.15,2134.1
11214.05,2146.45
11270.15,2119.85
11322.5,2133.8
11308.4,2127.6
11300.45,2122.05
11178.4,2113.8
11247.1,2091.35
11385.35,2118.55
11408.4,2131.55
11312.2,2097.05
11371.6,2081.85
11466.45,2095.75
11472.25,2082.1
11549.6,2137.3
11559.25,2110.6
11647.6,2116.15
11387.5,2080.7
11470.25,2087.25
11535,2128.2
11527.45,2112.1
11333.85,2077.25
11355.05,2082.65
11317.35,2107.1
11278,2161.35
11449.25,2314
11464.45,2319.75